years_to_retire,salary,investment_amount_per_month,current_savings,monthly_expenses,debt,number_of_dependents,city,goal_savings
12,18000,3900.0,293285,10000.0,38391,0,Pune,827000.0
4,55300,10800.0,1358624,35500.0,487380,3,Chennai,1851000.0
2,53100,12800.0,1339006,35200.0,67861,5,Lucknow,1631000.0
35,39400,4500.0,1080000,20900.0,218172,5,Chennai,2876000.0
3,96300,24200.0,67417,58700.0,191062,4,Bangalore,895000.0
4,139200,21600.0,1164819,71400.0,337664,3,Hyderabad,2150000.0
12,36800,8600.0,445115,23600.0,400459,0,Pune,1622000.0
19,74100,11700.0,426161,37600.0,38935,5,Ahmedabad,2961000.0
10,79000,21100.0,328464,52500.0,343449,0,Chennai,2734000.0
1,195900,52300.0,1583343,108200.0,337712,1,Lucknow,2180000.0
17,26100,4200.0,676533,17600.0,106423,0,Bangalore,1491000.0
16,159700,45000.0,461936,89600.0,32192,2,Ahmedabad,8671000.0
9,83200,13700.0,918510,46000.0,368692,1,Ahmedabad,2324000.0
9,109200,30500.0,1844794,59800.0,143290,4,Lucknow,4975000.0
9,24700,3400.0,450644,14300.0,186226,0,Hyderabad,800000.0
12,92000,14500.0,1243573,57100.0,318865,0,Chennai,3227000.0
15,40100,11100.0,1576084,22800.0,202042,1,Ahmedabad,3474000.0
2,49400,5700.0,1203443,25400.0,473565,4,Kolkata,1333000.0
11,165800,39900.0,1404504,98600.0,109953,4,Chennai,6409000.0
11,21500,5100.0,836095,12100.0,153278,3,Ahmedabad,1476000.0
8,148000,43600.0,390224,89200.0,202017,0,Pune,4367000.0
32,80700,23800.0,1674593,45700.0,7677,1,Delhi,10358000.0
6,68400,13400.0,103092,39300.0,47457,4,Hyderabad,1020000.0
20,92000,21300.0,157853,55300.0,11000,0,Chennai,5015000.0
35,47400,6200.0,1202273,25200.0,389172,2,Mumbai,3676000.0
8,105900,15400.0,1568909,56600.0,291027,0,Kolkata,2974000.0
34,87100,18400.0,1255009,46300.0,435181,2,Chennai,8388000.0
19,83800,12400.0,1726759,47500.0,146010,5,Jaipur,4413000.0
7,155100,22200.0,436790,83700.0,409685,4,Delhi,2209000.0
31,78500,8200.0,204426,49100.0,151601,5,Bangalore,3103000.0
18,59900,6900.0,568268,30100.0,35384,1,Chennai,1984000.0
14,42000,10200.0,500967,22800.0,2242,5,Mumbai,2129000.0
17,135900,14000.0,407936,89800.0,163816,5,Pune,3122000.0
9,106200,29600.0,529309,67300.0,231216,5,Lucknow,3567000.0
20,137700,15900.0,1543585,94800.0,67936,4,Delhi,5169000.0
28,65700,8600.0,386812,35900.0,382106,5,Jaipur,3132000.0
20,54800,9200.0,1203173,29400.0,99205,0,Lucknow,3301000.0
27,91000,22300.0,507856,50300.0,167558,3,Chennai,7373000.0
8,71200,17100.0,97892,40600.0,403070,3,Chennai,1658000.0
32,34500,5200.0,1458730,17400.0,182746,1,Pune,3356000.0
1,143800,23800.0,184668,78400.0,397136,5,Ahmedabad,456000.0
17,193800,51200.0,1174021,97800.0,135776,3,Bangalore,11098000.0
9,104200,20800.0,1548932,71800.0,438985,0,Ahmedabad,3683000.0
20,29600,5700.0,708350,20700.0,336608,3,Delhi,2008000.0
32,186800,42300.0,870810,126100.0,490307,3,Bangalore,16304000.0
2,72500,13900.0,483385,43800.0,225472,0,Pune,800000.0
32,32600,6100.0,524301,16600.0,234835,0,Kolkata,2750000.0
9,64700,16800.0,1326545,43600.0,461001,3,Kolkata,3050000.0
30,31400,9000.0,180115,18500.0,466637,0,Hyderabad,3259000.0
20,21800,4600.0,646635,12100.0,98369,2,Delhi,1696000.0
1,111800,17600.0,82413,76000.0,258500,4,Lucknow,283000.0
5,47700,13800.0,1519363,23900.0,228384,4,Kolkata,2306000.0
35,107800,25900.0,1208005,74400.0,86133,3,Bangalore,11544000.0
1,43300,10000.0,1548345,24800.0,308322,2,Mumbai,1662000.0
14,23300,5200.0,878273,16200.0,336746,2,Bangalore,1708000.0
9,151200,37500.0,219579,88700.0,34145,1,Hyderabad,4068000.0
30,23700,6000.0,1514175,12800.0,353080,4,Pune,3566000.0
24,123700,31900.0,1943491,84100.0,236906,1,Ahmedabad,10673000.0
4,99100,29300.0,570912,63300.0,67831,2,Bangalore,1907000.0
14,83100,15100.0,1890096,57900.0,54785,1,Hyderabad,4300000.0
25,33100,4900.0,1576038,19800.0,279413,1,Lucknow,2973000.0
4,36900,6600.0,1364994,25600.0,218030,3,Hyderabad,1666000.0
25,175100,44400.0,603052,103500.0,268501,1,Jaipur,13259000.0
10,95600,19900.0,1944356,66800.0,122842,0,Pune,4213000.0
35,15700,4300.0,1926537,10500.0,469470,2,Mumbai,3642000.0
7,117700,17300.0,1306653,66600.0,492034,3,Pune,2687000.0
13,164000,40600.0,1979781,96600.0,6755,3,Lucknow,7998000.0
4,67100,10100.0,1948921,44600.0,271968,2,Kolkata,2410000.0
14,144400,37500.0,1153874,92000.0,13636,2,Delhi,7140000.0
18,126100,23700.0,426549,69900.0,233956,0,Ahmedabad,5291000.0
8,73500,21900.0,1218397,47200.0,58403,4,Ahmedabad,3216000.0
32,101900,23800.0,1351350,58300.0,449405,5,Lucknow,10035000.0
27,27400,6800.0,587579,16500.0,44013,1,Lucknow,2681000.0
23,35500,3900.0,94512,23800.0,4053,5,Hyderabad,1117000.0
7,15600,3800.0,992497,9500.0,239549,3,Delhi,1296000.0
12,65600,12100.0,1243282,34000.0,81590,0,Hyderabad,2899000.0
25,112200,18500.0,379999,57500.0,284807,1,Lucknow,5653000.0
3,107100,27700.0,576439,60200.0,422544,1,Lucknow,1524000.0
26,75200,11000.0,320566,46300.0,273997,5,Lucknow,3581000.0
4,158300,21600.0,970387,103000.0,61031,2,Lucknow,1955000.0
15,159300,27300.0,69121,87500.0,48024,3,Mumbai,4738000.0
32,26900,6100.0,1829400,16900.0,100391,5,Hyderabad,4055000.0
29,63700,9600.0,645890,36500.0,64423,2,Hyderabad,3820000.0
10,169600,35900.0,872919,108800.0,267657,0,Lucknow,4966000.0
21,46800,8300.0,478266,29000.0,91328,0,Bangalore,2466000.0
16,47000,8400.0,514642,23600.0,471597,1,Bangalore,2047000.0
19,162000,22800.0,843568,105900.0,420553,3,Kolkata,5783000.0
29,113500,18700.0,359106,71700.0,189270,5,Chennai,6542000.0
18,167000,25800.0,1636792,112400.0,349048,0,Delhi,6932000.0
16,94900,14100.0,522421,61300.0,401097,0,Ahmedabad,3095000.0
1,24300,2800.0,1201939,14800.0,430190,2,Kolkata,1234000.0
2,199900,37300.0,717159,116200.0,129026,4,Mumbai,1568000.0
15,132200,19700.0,1347845,73100.0,393501,3,Mumbai,4717000.0
28,200000,58400.0,297160,137200.0,285283,0,Hyderabad,18941000.0
1,163100,35900.0,815249,105700.0,65719,0,Bangalore,1225000.0
5,193800,37300.0,832901,132700.0,305831,0,Bangalore,2959000.0
22,182800,30600.0,902006,98200.0,5135,5,Lucknow,8578000.0
13,19900,3800.0,657616,12600.0,272294,1,Ahmedabad,1221000.0
1,83300,14000.0,1778122,43600.0,339671,0,Lucknow,1938000.0
16,15900,4300.0,674891,9300.0,246306,2,Hyderabad,1459000.0
22,63000,9500.0,1371706,41100.0,241361,3,Mumbai,3755000.0
32,20200,3200.0,1576739,13400.0,464482,3,Jaipur,2744000.0
16,104600,25300.0,1976296,57800.0,445749,3,Ahmedabad,6592000.0
15,173900,48700.0,714925,102000.0,153192,0,Chennai,9044000.0
12,52600,12400.0,153018,32000.0,489919,5,Lucknow,1850000.0
1,178400,20900.0,1870264,100800.0,49807,3,Ahmedabad,2109000.0
17,159200,44500.0,1049460,88000.0,276769,1,Lucknow,9675000.0
28,31100,7900.0,403463,20900.0,401647,2,Jaipur,2926000.0
7,128500,19000.0,443146,72700.0,266692,5,Lucknow,1960000.0
9,103200,11600.0,918857,60600.0,144460,0,Bangalore,2109000.0
22,107100,26100.0,1814617,64900.0,172457,0,Delhi,8361000.0
26,195500,28700.0,160218,115000.0,146650,3,Mumbai,8668000.0
12,17300,3500.0,92124,11600.0,89599,2,Hyderabad,571000.0
7,165500,19500.0,768074,90000.0,18776,4,Pune,2324000.0
15,103300,22100.0,259868,55100.0,154687,0,Mumbai,4040000.0
21,151800,15800.0,1498036,96900.0,355707,1,Mumbai,5281000.0
14,177400,36700.0,1785906,118800.0,452448,3,Pune,7644000.0
2,141900,37900.0,229919,99200.0,498295,5,Bangalore,1094000.0
8,52600,11400.0,621426,34600.0,378382,2,Delhi,1661000.0
6,50700,14000.0,128640,29700.0,163646,1,Delhi,1086000.0
33,94500,19800.0,1977033,57500.0,463281,4,Chennai,9427000.0
6,56600,13400.0,906245,28700.0,366099,0,Hyderabad,1823000.0
26,63100,10900.0,927817,42200.0,332088,4,Chennai,4159000.0
14,74700,11900.0,404738,46700.0,368134,5,Delhi,2304000.0
8,30500,5100.0,1853118,16800.0,495739,3,Delhi,2318000.0
13,129500,15600.0,1419357,82300.0,263070,4,Hyderabad,3732000.0
13,199600,30100.0,503312,108200.0,370530,0,Kolkata,4965000.0
28,131900,23400.0,1210067,85600.0,163029,2,Lucknow,8680000.0
18,35700,6000.0,1248199,19300.0,452826,4,Hyderabad,2480000.0
19,187900,37400.0,960565,106100.0,389415,2,Delhi,9063000.0
32,86900,17200.0,1928208,56800.0,45179,0,Chennai,8204000.0
22,118100,29200.0,1325678,80900.0,318074,2,Kolkata,8650000.0
2,24200,4300.0,1745040,12500.0,86522,3,Jaipur,1843000.0
13,47400,11200.0,197933,30800.0,264304,5,Jaipur,1858000.0
23,134500,37400.0,982385,82400.0,68429,5,Mumbai,10790000.0
25,111500,21300.0,441608,68800.0,397075,4,Delhi,6513000.0
28,96500,20300.0,1687384,52300.0,164816,4,Kolkata,8168000.0
11,118200,27800.0,1620956,67300.0,368737,0,Jaipur,5108000.0
33,193200,38400.0,1307324,129900.0,195830,3,Pune,15756000.0
24,118900,15800.0,99419,64400.0,154146,5,Lucknow,4423000.0
2,114900,18200.0,69567,79100.0,154662,0,Bangalore,485000.0
30,76200,8000.0,824856,44400.0,400691,4,Pune,3561000.0
17,85200,20200.0,1444845,52500.0,220327,2,Ahmedabad,5360000.0
34,129200,20100.0,201986,74600.0,419216,4,Lucknow,7994000.0
22,83300,22100.0,1093031,49100.0,71181,5,Chennai,6637000.0
5,83800,19400.0,773896,51300.0,80130,5,Jaipur,1880000.0
16,83800,20700.0,838732,58500.0,447452,4,Delhi,4615000.0
13,62100,17200.0,397513,43200.0,276590,2,Lucknow,2947000.0
26,140500,26000.0,1571854,95800.0,213838,4,Bangalore,9279000.0
31,121300,16700.0,1519443,60900.0,15445,3,Mumbai,7422000.0
23,148700,42700.0,1492397,92200.0,106025,4,Mumbai,12690000.0
12,78500,23500.0,1632845,54000.0,13193,2,Hyderabad,4848000.0
14,61200,8800.0,1325118,35000.0,487756,0,Hyderabad,2730000.0
18,152600,37900.0,1197481,92500.0,261862,2,Ahmedabad,8976000.0
27,30500,3500.0,167216,18300.0,74485,1,Pune,1245000.0
28,156800,16500.0,309854,88300.0,336554,2,Hyderabad,5577000.0
18,180600,42400.0,1905975,98400.0,84529,4,Jaipur,10608000.0
16,167600,25300.0,1804894,90400.0,97364,2,Mumbai,6420000.0
16,118900,32500.0,1717747,79000.0,58419,2,Mumbai,7647000.0
13,169100,34300.0,1615776,104600.0,6895,4,Chennai,6700000.0
29,84800,21700.0,1279874,51100.0,31486,2,Ahmedabad,8455000.0
9,105600,12700.0,1040104,55700.0,16175,3,Ahmedabad,2343000.0
26,93100,25600.0,1010098,57400.0,235683,0,Ahmedabad,8599000.0
28,162300,22400.0,1087413,83900.0,181950,0,Lucknow,8239000.0
13,160600,34300.0,1635284,81000.0,22157,3,Bangalore,6719000.0
9,72900,16200.0,1805210,46500.0,232030,5,Mumbai,3468000.0
14,43800,5000.0,1660701,29900.0,274215,4,Pune,2459000.0
12,199900,59100.0,639058,112500.0,206052,5,Delhi,8725000.0
32,121800,19500.0,88451,75700.0,391336,2,Hyderabad,7203000.0
3,127500,31000.0,1566247,70500.0,203250,2,Kolkata,2627000.0
16,29300,6600.0,479344,16100.0,242515,5,Lucknow,1683000.0
20,19500,2100.0,1728616,10900.0,441222,1,Bangalore,2207000.0
32,147500,40200.0,821475,97100.0,350189,1,Kolkata,15489000.0
23,160800,25900.0,1910259,93100.0,374119,5,Mumbai,8702000.0
17,198700,29800.0,266202,132700.0,303989,1,Lucknow,6042000.0
16,26900,3000.0,215809,18100.0,441359,3,Pune,763000.0
8,99500,14900.0,65348,58700.0,160114,1,Mumbai,1424000.0
19,111700,25000.0,1066103,67400.0,449688,2,Chennai,6482000.0
30,130800,18300.0,254364,77400.0,8561,5,Mumbai,6514000.0
34,200000,38700.0,426720,107000.0,13514,1,Kolkata,15429000.0
14,93300,24300.0,661058,59500.0,48256,2,Hyderabad,4540000.0
22,157600,45900.0,1410751,106400.0,354025,2,Jaipur,12924000.0
17,44500,10700.0,575245,28500.0,227073,3,Bangalore,2649000.0
15,53800,7500.0,1655926,37100.0,63842,3,Ahmedabad,2939000.0
32,117000,20700.0,1997909,72100.0,4522,0,Jaipur,9550000.0
13,90400,19100.0,611208,56500.0,138874,2,Delhi,3442000.0
21,64900,17800.0,1956441,45000.0,64738,1,Kolkata,6218000.0
33,96700,20300.0,1027901,60400.0,188707,3,Chennai,8666000.0
27,24000,4800.0,1581480,16700.0,309309,4,Pune,3059000.0
35,69100,10500.0,453332,43600.0,70127,0,Bangalore,4643000.0
16,62600,12500.0,334166,37300.0,232485,2,Ahmedabad,2615000.0
28,85000,13900.0,572158,51000.0,6374,2,Bangalore,5010000.0
34,160000,34100.0,1253218,94100.0,415297,4,Delhi,14472000.0
1,115200,30200.0,177619,60200.0,185858,3,Kolkata,522000.0
31,33100,9600.0,358041,16700.0,242829,4,Ahmedabad,3751000.0
33,72800,19100.0,1719628,48900.0,452082,2,Jaipur,8906000.0
33,24300,6500.0,863227,15200.0,387397,2,Chennai,3309000.0
18,147500,25300.0,492129,99400.0,107308,4,Hyderabad,5684000.0
23,164300,39300.0,1450238,88300.0,201477,2,Lucknow,11756000.0
23,147800,26300.0,1681576,94700.0,454538,4,Ahmedabad,8578000.0
15,92300,9700.0,400173,62900.0,56732,4,Bangalore,2059000.0
26,41400,11500.0,1801451,22100.0,80213,0,Delhi,5211000.0
30,191900,21200.0,1487621,107200.0,303099,3,Delhi,8739000.0
25,90000,11100.0,556136,53100.0,45221,1,Pune,3720000.0
16,17200,1800.0,1924525,9400.0,336855,2,Bangalore,2253000.0
14,155400,17600.0,1000402,103200.0,306304,4,Pune,3810000.0
17,126700,14200.0,1878552,79100.0,21333,1,Jaipur,4631000.0
12,58400,13800.0,735810,30700.0,185229,2,Pune,2624000.0
29,168100,45500.0,883256,84900.0,213135,0,Jaipur,15928000.0
32,140200,36400.0,1699099,93600.0,8772,5,Bangalore,14980000.0
24,120500,27100.0,365783,61600.0,86771,4,Lucknow,7781000.0
13,177100,45500.0,91477,95700.0,243967,4,Delhi,6836000.0
20,134300,25700.0,1843862,84900.0,190108,2,Jaipur,7704000.0
15,157700,44400.0,412310,103300.0,256445,1,Kolkata,8006000.0
4,44800,8600.0,1037685,30600.0,169566,0,Lucknow,1430000.0
34,117500,12400.0,615945,60900.0,151657,2,Delhi,5423000.0
28,171600,41300.0,1101208,119600.0,296505,0,Bangalore,14286000.0
2,78800,21000.0,1002915,44200.0,278558,2,Mumbai,1482000.0
30,73100,10600.0,543135,38400.0,38276,0,Kolkata,4169000.0
26,183900,30100.0,458497,111600.0,115901,0,Delhi,9381000.0
26,146500,35000.0,1686057,102100.0,351062,1,Pune,12062000.0
20,83000,17800.0,1693083,49200.0,15873,1,Hyderabad,5752000.0
28,157600,43800.0,819427,105200.0,247792,0,Pune,14802000.0
20,58800,11500.0,1098879,32500.0,226920,5,Jaipur,3721000.0
11,147100,34500.0,1327758,79200.0,127070,3,Ahmedabad,5655000.0
10,190700,29400.0,1185612,96600.0,19,2,Ahmedabad,4538000.0
23,177400,50700.0,530093,99100.0,284638,4,Ahmedabad,13826000.0
19,165600,28800.0,1035494,93900.0,486330,4,Delhi,7275000.0
18,59600,12400.0,311092,32900.0,144768,2,Jaipur,2856000.0
27,152900,34100.0,1661165,82700.0,462836,2,Kolkata,12159000.0
6,199300,30100.0,1227213,131300.0,268525,4,Hyderabad,3286000.0
10,138900,22700.0,1545929,85800.0,258640,1,Chennai,4134000.0
2,40000,8000.0,1345704,22300.0,16993,3,Jaipur,1528000.0
24,167500,25800.0,1926543,110200.0,407767,1,Bangalore,8986000.0
28,130800,16500.0,1530188,71900.0,341470,1,Lucknow,6798000.0
28,48400,12900.0,1198014,26300.0,395672,2,Pune,5316000.0
2,189600,31300.0,880136,124800.0,492060,2,Jaipur,1594000.0
5,28300,5200.0,345779,19700.0,22747,2,Hyderabad,642000.0
11,167000,35000.0,390379,115400.0,136728,0,Lucknow,4780000.0
10,23300,6300.0,1906016,15200.0,449463,1,Pune,2624000.0
2,95000,12200.0,1130944,66100.0,127418,0,Jaipur,1409000.0
15,61300,13800.0,452125,40500.0,168040,5,Lucknow,2812000.0
7,55300,9400.0,490059,29600.0,109090,1,Mumbai,1240000.0
20,48200,13200.0,565184,33500.0,439393,5,Hyderabad,3575000.0
34,95700,22200.0,109260,63800.0,219464,4,Ahmedabad,8715000.0
35,85800,11100.0,1849522,48200.0,419404,5,Kolkata,6279000.0
34,16000,2600.0,1410698,10100.0,87912,1,Pune,2419000.0
22,115700,12400.0,641121,58000.0,426676,3,Hyderabad,3752000.0
31,118400,30100.0,856536,74800.0,75509,3,Ahmedabad,11495000.0
23,188300,34400.0,1939204,119100.0,306553,5,Ahmedabad,10960000.0
19,84600,9300.0,344248,54800.0,409136,0,Chennai,2359000.0
4,24600,2500.0,1036137,16600.0,434632,4,Bangalore,1150000.0
24,110200,32100.0,856756,66100.0,159075,2,Kolkata,9641000.0
20,59900,16200.0,1112366,40600.0,217484,5,Lucknow,4807000.0
28,169500,28300.0,1913515,117000.0,2525,1,Mumbai,10948000.0
17,178900,36400.0,439391,100100.0,16941,2,Pune,7495000.0
19,59100,12700.0,677247,38800.0,63568,5,Jaipur,3428000.0
35,98800,20100.0,1713853,53600.0,84921,4,Ahmedabad,9735000.0
32,159600,25800.0,531110,92600.0,53402,3,Mumbai,9944000.0
35,173300,30900.0,873938,90600.0,385963,1,Ahmedabad,13205000.0
30,46000,6300.0,1988916,28500.0,370357,2,Hyderabad,4144000.0
17,131600,14000.0,723643,82400.0,321494,0,Jaipur,3437000.0
29,80500,10500.0,610824,43500.0,10973,5,Lucknow,4083000.0
6,74100,7600.0,801895,45500.0,349362,0,Pune,1322000.0
17,112900,21100.0,600916,76100.0,32500,3,Lucknow,4691000.0
17,151300,35100.0,535739,86500.0,492259,5,Kolkata,7339000.0
14,113700,15500.0,777617,65100.0,490120,5,Hyderabad,3252000.0
24,123300,25500.0,1052814,84800.0,161489,4,Chennai,8031000.0
32,140800,23200.0,1340206,84300.0,243963,3,Mumbai,9805000.0
14,181100,22500.0,90359,120900.0,470682,5,Mumbai,3682000.0
27,154000,19300.0,487661,104900.0,60777,5,Ahmedabad,6429000.0
19,189100,42300.0,1360438,113400.0,233134,0,Bangalore,10524000.0
31,89800,11100.0,408792,60800.0,132360,5,Kolkata,4332000.0
9,72800,15300.0,1969528,48100.0,81666,4,Lucknow,3540000.0
17,143000,19800.0,274924,80100.0,407928,0,Bangalore,4113000.0
19,152100,41600.0,1276340,81800.0,302194,4,Pune,10288000.0
4,137600,15100.0,1716744,85200.0,368321,0,Delhi,2405000.0
11,144900,25700.0,957854,86900.0,315813,4,Mumbai,4181000.0
22,99900,25200.0,1122501,66000.0,246261,0,Lucknow,7444000.0
4,105700,26400.0,915726,72000.0,17375,1,Lucknow,2120000.0
17,191500,24700.0,755949,121900.0,85511,5,Jaipur,5544000.0
8,90700,12600.0,914495,63300.0,452637,2,Jaipur,2064000.0
34,125400,26200.0,825190,69000.0,454960,2,Chennai,10982000.0
11,86400,20500.0,1124027,47800.0,149951,3,Mumbai,3695000.0
31,162300,40600.0,1984001,82700.0,421535,4,Bangalore,16334000.0
11,74900,16800.0,769252,40000.0,107408,3,Pune,2876000.0
21,109500,28100.0,637957,70200.0,48129,3,Bangalore,7366000.0
30,49500,9300.0,847102,29800.0,481825,5,Lucknow,4028000.0
10,97100,20600.0,1600157,55800.0,77687,2,Lucknow,3949000.0
26,159800,29800.0,1854545,104400.0,394686,1,Lucknow,10689000.0
27,52400,13200.0,1232909,33600.0,128072,1,Mumbai,5296000.0
8,32700,4400.0,314313,17000.0,448785,5,Lucknow,716000.0
8,77800,11700.0,1629722,49900.0,214054,0,Jaipur,2697000.0
8,31500,8400.0,1471151,18600.0,361088,0,Jaipur,2237000.0
34,70400,17100.0,420488,37800.0,123599,0,Delhi,7049000.0
16,57100,14100.0,1047551,35900.0,71326,3,Lucknow,3620000.0
13,62900,7500.0,1998808,33200.0,328234,5,Bangalore,3110000.0
23,61900,12200.0,1508717,43200.0,27508,2,Ahmedabad,4708000.0
12,150900,32100.0,774065,102000.0,374943,1,Mumbai,5166000.0
27,87200,22300.0,1108465,47700.0,459834,1,Pune,7973000.0
22,33200,6100.0,1874417,20500.0,347574,4,Chennai,3405000.0
32,76500,15900.0,1985206,52800.0,437139,1,Hyderabad,7786000.0
27,199500,29500.0,1518993,135200.0,128469,1,Bangalore,10600000.0
2,40400,10800.0,1840922,23200.0,336813,3,Hyderabad,2087000.0
33,39900,11300.0,133662,24900.0,337191,2,Mumbai,4385000.0
26,82300,15900.0,1512263,53000.0,210014,5,Pune,6226000.0
28,103300,19400.0,469877,54300.0,409521,2,Hyderabad,6663000.0
19,82500,13700.0,1394948,49700.0,238315,2,Hyderabad,4363000.0
5,172000,26400.0,114246,111500.0,453697,0,Bangalore,1619000.0
33,80100,16900.0,923144,40600.0,53841,5,Jaipur,7282000.0
20,76300,10200.0,574632,41400.0,394492,3,Jaipur,2901000.0
30,21600,4700.0,1309258,12800.0,331678,5,Hyderabad,2917000.0
8,21900,4600.0,138803,13900.0,458579,5,Ahmedabad,558000.0
17,26400,6300.0,201063,18400.0,142850,0,Hyderabad,1422000.0
1,118300,17200.0,992094,80200.0,129345,2,Jaipur,1188000.0
3,25900,6200.0,1015951,16700.0,122132,3,Chennai,1228000.0
26,175400,18100.0,343838,98300.0,137759,4,Kolkata,5709000.0
31,167500,34700.0,690989,116000.0,240920,2,Ahmedabad,12956000.0
8,200000,53800.0,1501869,129800.0,130565,4,Ahmedabad,6409000.0
8,61500,15100.0,406400,39100.0,385580,2,Kolkata,1784000.0
35,115600,31200.0,1201727,77700.0,194387,4,Lucknow,13652000.0
28,37000,4800.0,1107474,22600.0,264463,3,Chennai,2640000.0
4,26000,6300.0,402897,15500.0,100424,5,Bangalore,690000.0
16,40100,7800.0,1497384,20300.0,2397,3,Pune,2920000.0
13,198500,32700.0,1469014,121300.0,354043,5,Mumbai,6316000.0
20,120200,20600.0,1136115,78200.0,180799,4,Hyderabad,5834000.0
5,179200,21600.0,318402,91900.0,166339,2,Mumbai,1550000.0
20,55300,13200.0,1274326,37700.0,139895,3,Delhi,4284000.0
24,149400,33800.0,1293720,96700.0,117968,4,Delhi,10543000.0
34,113400,14800.0,1998793,71300.0,385890,4,Mumbai,7736000.0
34,92500,19300.0,1748116,62600.0,470040,0,Pune,9230000.0
19,25700,3200.0,1692863,14000.0,203760,3,Mumbai,2386000.0
17,68700,11200.0,305837,42100.0,109534,1,Hyderabad,2477000.0
5,61300,6700.0,930758,37400.0,282616,5,Bangalore,1313000.0
25,108900,24400.0,95904,57000.0,17427,1,Mumbai,7051000.0
18,99400,10200.0,1739192,58000.0,205839,4,Delhi,3833000.0
8,188700,28700.0,1649451,126600.0,441037,5,Jaipur,4267000.0
27,153800,23600.0,320324,103400.0,158424,2,Bangalore,7585000.0
15,193400,48300.0,1760409,129400.0,334389,0,Hyderabad,10021000.0
13,88700,16900.0,1577786,45900.0,211554,0,Kolkata,4083000.0
16,111000,23800.0,337926,62000.0,453093,4,Bangalore,4680000.0
22,76000,11400.0,409477,48500.0,117239,0,Hyderabad,3269000.0
20,194900,40800.0,530714,98300.0,239027,0,Chennai,9835000.0
13,28000,3600.0,1949224,15500.0,455643,3,Delhi,2483000.0
20,56500,16900.0,1531287,31800.0,463464,1,Pune,5385000.0
2,146000,29700.0,549611,98500.0,352644,0,Bangalore,1227000.0
35,56300,15500.0,171710,39300.0,247618,3,Bangalore,6357000.0
19,62800,7600.0,562183,36600.0,247949,0,Mumbai,2209000.0
6,34400,7500.0,1661020,21600.0,341824,4,Bangalore,2174000.0
14,93300,21900.0,936399,57100.0,264225,3,Ahmedabad,4432000.0
4,126600,32600.0,59301,87900.0,195443,3,Delhi,1546000.0
22,192300,37900.0,1067973,131000.0,218855,0,Ahmedabad,10575000.0
34,50400,5400.0,1390768,30000.0,359772,2,Delhi,3484000.0
27,138800,21100.0,1293625,86800.0,423035,0,Ahmedabad,7789000.0
7,94200,14700.0,593265,47500.0,295231,2,Jaipur,1767000.0
3,185700,30400.0,1249861,108800.0,395011,5,Kolkata,2290000.0
33,60700,7200.0,1272596,36200.0,246536,3,Lucknow,3982000.0
2,199000,19900.0,1685295,100100.0,305682,0,Pune,2139000.0
16,147800,30100.0,1756572,78100.0,347938,0,Delhi,7248000.0
25,47400,11700.0,749616,28800.0,111821,3,Ahmedabad,4085000.0
15,163600,23900.0,589781,106900.0,323098,3,Ahmedabad,4677000.0
24,172000,41100.0,1949516,117200.0,266994,1,Lucknow,13196000.0
15,195100,48000.0,422331,100900.0,180206,1,Pune,8632000.0
31,192800,35100.0,1676241,112500.0,340284,4,Kolkata,14082000.0
14,96400,19800.0,424579,61900.0,482019,4,Lucknow,3585000.0
14,103300,16800.0,1676254,67000.0,33605,3,Mumbai,4358000.0
6,120200,21000.0,1300536,62000.0,443012,2,Bangalore,2737000.0
14,148600,32400.0,698357,84700.0,182458,3,Hyderabad,5870000.0
17,179000,30900.0,1286322,93400.0,43814,1,Bangalore,7276000.0
18,67400,13500.0,671480,41500.0,310153,0,Bangalore,3442000.0
20,126500,31500.0,807312,76800.0,345023,0,Ahmedabad,7990000.0
17,119200,34900.0,1151554,59700.0,127718,1,Kolkata,7916000.0
16,139100,38700.0,1344756,80200.0,466804,0,Jaipur,8405000.0
32,72300,20500.0,862738,40100.0,10039,4,Hyderabad,8342000.0
9,185100,52200.0,1366133,122700.0,484204,5,Hyderabad,6723000.0
27,182000,27000.0,1127988,124600.0,18052,0,Delhi,9440000.0
33,127100,36800.0,1627481,73400.0,490491,4,Chennai,15474000.0
10,147800,21400.0,961201,81000.0,474697,5,Delhi,3401000.0
17,101800,27800.0,1941895,67000.0,285703,3,Ahmedabad,7330000.0
17,95400,20600.0,1102769,66400.0,191098,3,Ahmedabad,5096000.0
18,74100,19800.0,905353,41800.0,354865,1,Bangalore,4969000.0
23,92200,27300.0,1687641,47000.0,112944,3,Chennai,8847000.0
34,146600,40300.0,1222529,94600.0,64908,1,Chennai,16845000.0
8,148500,39100.0,978383,96000.0,462722,3,Chennai,4545000.0
13,20200,2900.0,1755301,11400.0,409577,2,Hyderabad,2185000.0
23,152800,41600.0,87490,93600.0,135700,5,Lucknow,10997000.0
20,130300,17300.0,780337,67300.0,441496,3,Ahmedabad,4725000.0
22,138500,28100.0,1583409,87900.0,161805,0,Ahmedabad,8632000.0
23,141000,28300.0,76024,90500.0,110836,5,Bangalore,7497000.0
35,188200,38300.0,139997,101800.0,405179,1,Pune,15424000.0
3,175500,42900.0,896808,115600.0,336934,2,Jaipur,2364000.0
34,113700,20400.0,1886904,57600.0,305862,0,Kolkata,9795000.0
33,152400,29200.0,1787121,101100.0,38267,1,Mumbai,12774000.0
